zinc_id,smiles
ZINC000002525129,O=Cc1cccc(-c2cccs2)c1
ZINC000141821797,CCC[C@H](CC)CCCCCO
ZINC000002516994,CC1=C(C)C(C)=C(C)C1
ZINC000002564054,CC/C=C/CCC(C)C
ZINC000019772195,Cc1ccc(NC(C)C)c(C)c1
ZINC000001677093,CCCC1CCCCC1
ZINC000020283492,Cc1cc(Cl)cc2cccnc12
ZINC000001634258,ClCCCCOCCCCCl
ZINC000005724454,Cc1sc2ccccc2c1C=O
ZINC000238374627,COc1ccc(Cl)c(C2CC2)c1
ZINC000138431000,FC(F)(F)c1ccc2c(c1)CC=C2
ZINC000001850757,CCCCCCOC(=O)CC(C)C
ZINC000001519676,Cc1cc(C)cc(-n2cccc2)c1
ZINC000001996240,O=Cc1ccc(Cc2ccccc2)cc1
ZINC000002574117,Cc1cccc(-c2ccc(N)cc2)c1
ZINC000019421482,C[C@H](S)c1ccccc1Cl
ZINC000032163572,CCCCc1nc(CCC)c(C)o1
ZINC000000157878,Fc1ccc(Cl)cc1Cl
ZINC000002164100,CCCCC[C@@](C)(O)CC(C)C
ZINC000037466109,N[C@@H](c1cccc(F)c1)C1CCCC1
ZINC000049588096,Fc1ccc(Cl)cc1C(F)(F)F
ZINC000166216496,CCCCC[C@H](CC)CCCO
ZINC000098210138,FC(F)c1cccc(CCl)c1
ZINC000002566071,C[C@@H](O)c1c(Cl)cccc1Cl
ZINC000002514235,CC(C)(C)C(=O)c1cccc(F)c1
ZINC000037492262,CC(C)Sc1ccc([C@@H](C)N)cc1
ZINC000059530900,Brc1ccc(C2CC2)cc1
ZINC000004962842,CC(C)(C)[C@H]1CCCC(=O)CC1
ZINC000082703561,Cc1cccc(Oc2cccc(N)c2)c1
ZINC000169948561,F[B-](F)(F)C1Cc2ccccc2C1
ZINC000034227431,CC(C)Oc1ccc(Cl)cc1
ZINC000014616892,CC/C=C\CCCCOC(=O)CC
ZINC000005159529,C=CCCCCCCCC(C)=O
ZINC000000389530,CCc1ccc(Cl)c(CC)c1N
ZINC000088243587,CCC[C@H](Cl)[C@@H](C)Cl
ZINC000044137084,Cc1cc2c(Cl)cccc2[nH]1
ZINC000002166787,CCCCC/C=C1/CCCC1=O
ZINC000020391880,CC(=O)[C@H]1C[C@@H]1c1ccccc1Cl
ZINC000002564051,CC/C=C/c1ccccc1
ZINC000019093832,C[C@H]1CCC[C@@H](NC2CCCC2)C1
ZINC000002579257,CC#CCCCCCCCCCO
ZINC000038611148,CC/C=C\CC1=C(C)C(=O)CC1
ZINC000136655691,C=C(C)[C@@H]1C=CC(C)=CC1
ZINC000095635268,Cc1cc(Cl)c2ccsc2n1
ZINC000085947591,CC(C)[C@H]1CC[C@H](C)[C@H]1C
ZINC000002557911,CCCC(=O)O[C@@H](C)c1ccccc1
ZINC000002162274,CC(C)c1ccc([C@H](O)C2CC2)cc1
ZINC000000158482,OCc1csc2ccc(Cl)cc12
ZINC000095620533,Cc1ccc(-c2ccc3n2CCC3)o1
ZINC000001398573,ClCc1cc(-c2ccccc2)on1
ZINC000002032111,Cc1cc(N)ccc1-c1ccccc1
ZINC000066329352,Fc1cccc(C(F)(F)F)c1Cl
ZINC000071260700,C[C@H](N)c1c(Cl)cccc1Cl
ZINC000001706163,FC(F)(F)c1cccc(Cl)c1
ZINC000002046165,CCCc1ccc(C[C@H](C)C=O)cc1
ZINC000036928112,[N-]=[N+]=Nc1ccccc1Cl
ZINC000014439085,CCCCCC[C@H]1C[C@H]1CC(=O)O
ZINC000045205805,CC(C)(C)c1csc(CCl)n1
ZINC000033902841,CCCCCc1cc[nH]c1C
ZINC000005651111,CC[C@@H](C)c1ccccc1[N+](=O)[O-]
ZINC000001587617,CC(=O)c1ccc(C(C)(C)C)cc1
ZINC000002018962,CCCCCc1ccc(O)cc1
ZINC000003732368,c1ccc2cc([C@@H]3CCCN3)ccc2c1
ZINC000038611097,CCCCC1(CCCC)CCC(=O)O1
ZINC000002567760,CCCCCC(=O)OC[C@H](C)CC
ZINC000058481009,Cc1cccc([C@@H](C)Cl)c1
ZINC000059587156,CC1=CC=CC(C)(C)C=C1
ZINC000136457210,BrCCC1=CCCCC1
ZINC000001690422,Fc1cccc(C(Cl)Cl)c1
ZINC000002506726,Fc1ccc(N=C=S)c(Cl)c1
ZINC000221515262,CCCCC[C@H]1CCN=C1C
ZINC000000240989,Nc1ccc(Oc2ccccc2)cc1
ZINC000019091344,CCC(CC)NCCc1ccccc1
ZINC000019089780,CC(=O)c1c(C)sc2ccccc12
ZINC000032007062,CCNc1ccccc1C(C)(C)C
ZINC000070454426,C/C=C(C)\C=C/C=C(C)C
ZINC000248328612,C[C@@H]1CC[C@H]2[C@H](C1)C2(C)C
ZINC000091351762,CC[C@@H](N)c1cc(C(C)C)c(C)o1
ZINC000032132608,CC(C)(C)CNc1ccccc1
ZINC000100000365,[C-]#[N+][C@@H]1C[C@H]2CC[C@@]1(C)C2(C)C
ZINC000095635196,COc1cc(Cl)cc(CCl)c1
